experiment_id,scenario,sequence,model_time,output_channel,prediction,target,largest_term_name,largest_term_value,second_largest_term_name,second_largest_term_value,sum_linear,sum_quadratic,sum_cubic,sum_interactions,bias,perturbation_state,observation_half_life,forward_half_life
E_n3,irregular_event_time_sampling,841,2.203843319966493,direction_state,-3.833214924291864e+49,-1.0,price_velocity_x_acceleration^3,-3.8332149242918473e+49,volume_density^3,-1.7833816200792122e+35,-943761183398.9209,-1.9440112856964627e+33,-3.833214924291864e+49,-3.8332149242918473e+49,-5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
E_n3,irregular_event_time_sampling,841,2.203843319966493,magnitude_state,-3.833214924291864e+49,0.140421042223176,price_velocity_x_acceleration^3,-3.8332149242918473e+49,volume_density^3,-1.7833816200792122e+35,-943761183398.9209,-1.9440112856964627e+33,-3.833214924291864e+49,-3.8332149242918473e+49,-5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
E_n3,irregular_event_time_sampling,841,2.203843319966493,strength,3.833214924291864e+49,1.0,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
E_n3,irregular_event_time_sampling,841,2.203843319966493,persistence,3.833214924291864e+49,0.016666666666666666,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
E_n3,irregular_event_time_sampling,841,2.203843319966493,observation_half_life,3.833214924291864e+49,5.0,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
E_n3,irregular_event_time_sampling,841,2.203843319966493,forward_half_life,3.833214924291864e+49,5.0,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
E_n3,irregular_event_time_sampling,841,2.203843319966493,reinforcement,-3.833214924291864e+49,0.010000000000000037,price_velocity_x_acceleration^3,-3.8332149242918473e+49,volume_density^3,-1.7833816200792122e+35,-943761183398.9209,-1.9440112856964627e+33,-3.833214924291864e+49,-3.8332149242918473e+49,-5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
E_n3,irregular_event_time_sampling,841,2.203843319966493,uncertainty,3.833214924291864e+49,0.2,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
E_n3,irregular_event_time_sampling,841,2.203843319966493,reversal_tendency,3.833214924291864e+49,0.7,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
E_n3,irregular_event_time_sampling,841,2.203843319966493,perturbation_state,3.833214924291864e+49,0.8,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,perturbation_memory_reset,341,1.002,observation_half_life,3.095223350646787e+48,300.0,price_velocity_x_acceleration^3,3.0952233506467174e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222763078866e+32,3.0952233506467875e+48,3.0952233506467174e+48,5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
D_n3,perturbation_memory_reset,341,1.002,forward_half_life,3.095223350646787e+48,300.0,price_velocity_x_acceleration^3,3.0952233506467174e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222763078866e+32,3.0952233506467875e+48,3.0952233506467174e+48,5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
D_n3,perturbation_memory_reset,341,1.002,direction_state,-3.0952233506467855e+48,-1.0,price_velocity_x_acceleration^3,-3.095223350646716e+48,volume_density^3,-6.590629710951931e+34,-1642766756123.6104,1.7707222767898416e+32,-3.095223350646786e+48,-3.095223350646716e+48,-5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
D_n3,perturbation_memory_reset,341,1.002,magnitude_state,-3.0952233506467855e+48,0.09233218963617283,price_velocity_x_acceleration^3,-3.095223350646716e+48,volume_density^3,-6.590629710951931e+34,-1642766756123.6104,1.770722276789315e+32,-3.095223350646786e+48,-3.095223350646716e+48,-5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
D_n3,perturbation_memory_reset,341,1.002,strength,3.0952233506467855e+48,0.9355510028816475,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.770722276788541e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
D_n3,perturbation_memory_reset,341,1.002,persistence,3.0952233506467855e+48,1.0,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222767877084e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
D_n3,perturbation_memory_reset,341,1.002,reinforcement,-3.0952233506467855e+48,0.010000000000000037,price_velocity_x_acceleration^3,-3.095223350646716e+48,volume_density^3,-6.590629710951931e+34,-1642766756123.6104,1.770722276789399e+32,-3.095223350646786e+48,-3.095223350646716e+48,-5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
D_n3,perturbation_memory_reset,341,1.002,uncertainty,3.0952233506467855e+48,0.2644489971183525,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222767882607e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
D_n3,perturbation_memory_reset,341,1.002,reversal_tendency,3.0952233506467855e+48,0.7,price_velocity_x_acceleration^3,3.095223350646716e+48,volume_density^3,6.590629710951931e+34,1642766756123.6104,-1.7707222767887622e+32,3.095223350646786e+48,3.095223350646716e+48,5.0,1.5476116753233928e+48,1.5476116753233934e+48,1.5476116753233934e+48
