experiment_id,scenario,model_time,output_channel,prediction,largest_term_name,largest_term_value,second_largest_term_name,second_largest_term_value,sum_linear,sum_quadratic,sum_cubic,sum_interactions,bias
A_n1,quiet_market,12.002,strength,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,12.002,persistence,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,12.002,observation_half_life,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,12.002,forward_half_life,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,12.002,reinforcement,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,12.002,uncertainty,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,12.002,reversal_tendency,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,12.002,perturbation_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,13.002,direction_state,0.0,bias,0.0,price_displacement,-0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,13.002,magnitude_state,0.0,bias,0.0,price_displacement,-0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,13.002,strength,0.0,bias,0.0,price_displacement,-0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,13.002,persistence,0.0,bias,0.006,price_displacement,-0.0,0.0,0,0,0.0,0.006
A_n1,quiet_market,13.002,observation_half_life,0.0,bias,1.7999999999999998,price_displacement,-0.0,0.0,0,0,0.0,1.7999999999999998
A_n1,quiet_market,13.002,forward_half_life,0.0,bias,1.7999999999999998,price_displacement,-0.0,0.0,0,0,0.0,1.7999999999999998
A_n1,quiet_market,13.002,reinforcement,0.0,bias,-0.0045,price_displacement,-0.0,0.0,0,0,0.0,-0.0045
A_n1,quiet_market,13.002,uncertainty,0.0,bias,0.03,price_displacement,-0.0,0.0,0,0,0.0,0.03
A_n1,quiet_market,13.002,reversal_tendency,0.0,bias,0.0,price_displacement,-0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,13.002,perturbation_state,0.0,bias,0.0,price_displacement,-0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,14.002,direction_state,0.0,price_displacement,-0.03910358707567784,price_velocity,-0.03910358707567784,-0.08686223308586587,0,0,0.0,-0.03
A_n1,quiet_market,14.002,magnitude_state,0.0,price_displacement,0.036645241600916124,price_velocity,0.036645241600916124,0.0814014200606804,0,0,0.0,0.028113974452008167
A_n1,quiet_market,14.002,strength,0.0,price_displacement,0.023462152245406705,price_velocity,0.023462152245406705,0.05211733985151952,0,0,0.0,0.018
A_n1,quiet_market,14.002,persistence,0.0,bias,0.01181991,price_displacement,0.007586095892681501,0.016851273218657977,0,0,0.0,0.01181991
A_n1,quiet_market,14.002,observation_half_life,0.0,bias,3.545973,price_displacement,2.2758287678044504,5.055381965597394,0,0,0.0,3.545973
A_n1,quiet_market,14.002,forward_half_life,0.0,bias,3.545973,price_displacement,2.2758287678044504,5.055381965597394,0,0,0.0,3.545973
A_n1,quiet_market,14.002,reinforcement,0.0,bias,-0.008864932499999999,price_displacement,-0.005689571919511126,-0.012638454913993484,0,0,0.0,-0.008864932499999999
A_n1,quiet_market,14.002,uncertainty,0.0,bias,0.04109955,price_displacement,0.014468327218000803,0.032139026241770376,0,0,0.0,0.04109955
A_n1,quiet_market,14.002,reversal_tendency,0.0,bias,0.0,price_displacement,-0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,14.002,perturbation_state,0.0,bias,0.0,price_displacement,-0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,15.002,direction_state,0.0,bias,-0.05649368300742402,price_acceleration,0.03578952931791398,0.04066504757003274,0,0,0.0,-0.05649368300742402
A_n1,quiet_market,15.002,magnitude_state,0.0,bias,0.06655494152618886,price_acceleration,-0.038579365624212374,-0.04456936382975127,0,0,0.0,0.06655494152618886
A_n1,quiet_market,15.002,strength,0.0,bias,0.033896209804454416,price_acceleration,-0.02147371759074839,-0.024399028542019648,0,0,0.0,0.033896209804454416
A_n1,quiet_market,15.002,persistence,0.0,bias,0.01695959720479026,price_acceleration,-0.006943169687284423,-0.007889020510037264,0,0,0.0,0.01695959720479026
A_n1,quiet_market,15.002,observation_half_life,0.0,bias,5.0,price_acceleration,-2.082950906185327,-2.3667061530111795,0,0,0.0,5.0
A_n1,quiet_market,15.002,forward_half_life,0.0,bias,5.0,price_acceleration,-2.082950906185327,-2.3667061530111795,0,0,0.0,5.0
A_n1,quiet_market,15.002,reinforcement,0.0,bias,-0.003719697903592694,price_acceleration,0.001875346900026461,0.001645262342934026,0,0,0.0,-0.003719697903592694
A_n1,quiet_market,15.002,uncertainty,0.0,bias,0.05090177621949689,price_acceleration,-0.013242130845673723,-0.015046074008166675,0,0,0.0,0.05090177621949689
A_n1,quiet_market,15.002,reversal_tendency,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,15.002,perturbation_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,16.002,direction_state,0.0,bias,-0.026017994712703264,price_displacement,0.019363379581189676,0.05022887168104563,0,0,0.0,-0.026017994712703264
A_n1,quiet_market,16.002,magnitude_state,0.0,bias,0.06702011704288408,price_displacement,-0.023372943062740674,-0.053030617606065145,0,0,0.0,0.06702011704288408
A_n1,quiet_market,16.002,strength,0.0,bias,0.051610775019246644,price_displacement,-0.011222337594487652,-0.022739520176775208,0,0,0.0,0.051610775019246644
A_n1,quiet_market,16.002,persistence,0.0,bias,0.022687225509989598,price_displacement,-0.003628556824566471,-0.007352445396759463,0,0,0.0,0.022687225509989598
A_n1,quiet_market,16.002,observation_half_life,0.0,bias,5.0,price_displacement,-1.0885380699199352,-2.20519185810853,0,0,0.0,5.0
A_n1,quiet_market,16.002,forward_half_life,0.0,bias,5.0,price_displacement,-1.0885380699199352,-2.20519185810853,0,0,0.0,5.0
A_n1,quiet_market,16.002,reinforcement,0.0,bias,-0.00815740904130438,price_displacement,-0.0009467628792199079,-0.002398248612831149,0,0,0.0,-0.00815740904130438
A_n1,quiet_market,16.002,uncertainty,0.0,bias,0.061825352530701344,price_displacement,-0.006920446528344701,-0.014022706807022108,0,0,0.0,0.061825352530701344
A_n1,quiet_market,16.002,reversal_tendency,0.0,bias,0.005025877004267554,price_acceleration,0.0009223079765241422,0.0010327908238389198,0,0,0.0,0.005025877004267554
