experiment_id,parameter,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max,starting_value,ending_value
B_n1,observation_half_life:relative_volume_x_price_velocity,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,observation_half_life:spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,observation_half_life:spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,observation_half_life:volume_density,925,-5.0,0.0,-4.906287566363797,0.6353529516465155,-5.0,-5.0,-5.0,-5.0,0.0,5.0,0.0,-5.0
B_n1,observation_half_life:volume_density_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,observation_half_life:volume_log,925,-5.0,0.0,-4.898667988674446,0.6427435374109591,-5.0,-5.0,-5.0,-4.99362332326617,0.0,5.0,0.0,-5.0
B_n1,observation_half_life:volume_log_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,observation_half_life:volume_movement_abs,925,-5.0,5.0,0.9170473281837747,2.9540929242597382,-5.0,-4.99550623494782,1.0635991272623873,5.0,5.0,5.0,0.0,-1.0759704854546726
B_n1,observation_half_life:volume_movement_signed,925,-5.0,5.0,0.2726705015704699,3.220746479926851,-5.0,-5.0,0.5685741084878803,5.0,5.0,5.0,0.0,-1.0759704854546726
B_n1,persistence:bias,925,0.0,0.18993978731640812,0.17786322413141512,0.029773498513731338,0.0,0.13080619146366415,0.1857190354461313,0.18850953838313106,0.189631579165047,0.18993978731640812,0.0,0.1880595200743248
B_n1,persistence:directional_volume,925,-0.02261549778536687,0.014682597526609137,-0.003170905695217064,0.00412025604557359,-0.0180146167895863,-0.010445648499940417,-0.0023072324526589604,0.0006803863956365443,0.004035059418247338,0.02261549778536687,0.0,0.0007967873087322037
B_n1,persistence:price_acceleration,925,-0.014040515270177033,0.010744243474681127,-0.0008986703189159704,0.002043023805780373,-0.010779612059428657,-0.004016888914709668,-0.0005565836960636473,0.000890873989398768,0.0012002421007561732,0.014040515270177033,0.0,-0.00019317673757151546
B_n1,persistence:price_displacement,925,-0.011896688611613148,0.014335721973729457,0.00020312339011911636,0.002026918682310589,-0.0044080291658757246,-0.001545135825210566,-3.0047875640879093e-05,0.003729326502262045,0.006823465601246844,0.014335721973729457,0.0,-0.0015237215259146656
B_n1,persistence:price_velocity,925,-0.011896688611613148,0.014335721973729457,0.00021889279687430565,0.0020199738649450865,-0.0044080291658757246,-0.0015397824267464617,-3.0047875640879093e-05,0.003729326502262045,0.006823465601246844,0.014335721973729457,0.0,-0.001260071347939494
B_n1,persistence:price_velocity_x_acceleration,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,persistence:relative_volume,925,-0.033342669253018396,0.0,-0.030440074202065747,0.004760531717426835,-0.033342669253018396,-0.0331249754471979,-0.03117617001695975,-0.02607448565188153,0.0,0.033342669253018396,0.0,-0.02985770873430404
B_n1,persistence:relative_volume_x_price_velocity,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,persistence:spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,persistence:spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,persistence:volume_density,925,-0.03336598104896181,0.0,-0.030470345841558326,0.004765548455773373,-0.03336598104896181,-0.0331477094832876,-0.03118250598248141,-0.026079943769936637,0.0,0.03336598104896181,0.0,-0.029898132764719743
B_n1,persistence:volume_density_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,persistence:volume_log,925,-0.03215621606037681,0.0,-0.028825440301287728,0.004548875726391985,-0.03215621606037681,-0.032026717941786645,-0.02925408618683368,-0.02562328787160526,0.0,0.03215621606037681,0.0,-0.027650470248924693
B_n1,persistence:volume_log_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,persistence:volume_movement_abs,925,-0.01718030030336587,0.01785764914916445,0.0014785073252947015,0.0032402063876926642,-0.001816406109765905,-0.0010214009253255547,0.0006345942113935775,0.008403621816894215,0.014047091590049557,0.01785764914916445,0.0,0.0005439961938047201
B_n1,persistence:volume_movement_signed,925,-0.011758115431262622,0.015564836313394682,0.0017302505636142532,0.0019192772578315942,-0.0030835279291299158,9.383013676442437e-05,0.0015856704427203018,0.005234728536854494,0.008039666113400111,0.015564836313394682,0.0,0.0013909357850446368
B_n1,perturbation_state:bias,925,0.0,0.2037278969700899,0.08914180860930307,0.058990949688316516,0.0,0.010516668129920779,0.07691775997044224,0.1921963848043722,0.19891611972316656,0.2037278969700899,0.0,0.10095198988193543
B_n1,perturbation_state:directional_volume,925,-0.22119229570909227,0.07406176491775951,-0.040873127142257576,0.03944431314169386,-0.1296478464603107,-0.11782267938687849,-0.04937767836332016,0.00730980093399581,0.01514106934084301,0.22119229570909227,0.0,-0.05489367158442805
B_n1,perturbation_state:price_acceleration,925,-0.21186745310089966,0.17816040945596484,-0.03180917053193947,0.0559149468239786,-0.1955129755630759,-0.15994067075818405,-0.014954355997449239,0.014070415205219178,0.03779585665013348,0.21186745310089966,0.0,0.010581190762197344
B_n1,perturbation_state:price_displacement,925,-0.0933949323159847,0.2023764810339196,0.03398266705772655,0.04801107213000829,-0.007805963781419166,-0.0028812792120142,0.024778591443551712,0.1875145976953472,0.18880715975565562,0.2023764810339196,0.0,0.008644841338907869
B_n1,perturbation_state:price_velocity,925,-0.0933949323159847,0.2023764810339196,0.039278157382354024,0.049805616594436955,-0.007805963781419166,-0.0028812792120142,0.02665928476003238,0.1875145976953472,0.18880715975565562,0.2023764810339196,0.0,0.1132447472093319
B_n1,perturbation_state:price_velocity_x_acceleration,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,perturbation_state:relative_volume,925,-0.029313506698173605,0.003914805814954695,-0.012899271104746769,0.009461281132264856,-0.028688643286144202,-0.027766772103786704,-0.014419784883865538,0.00021590456694812676,0.0021681348318082373,0.029313506698173605,0.0,-0.013698754268955145
B_n1,perturbation_state:relative_volume_x_price_velocity,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,perturbation_state:spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,perturbation_state:spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,perturbation_state:volume_density,925,-0.029753345062157557,0.0035176476918284873,-0.013175082536620128,0.009513105314902995,-0.02912928258992851,-0.02821856606157874,-0.01455713455493932,0.0,0.001773658903854803,0.029753345062157557,0.0,-0.014162750356761912
B_n1,perturbation_state:volume_density_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,perturbation_state:volume_log,925,-0.021602225543545434,0.021475165643678254,-0.0005460890083577574,0.010949943561681427,-0.02088733757056319,-0.01974241376981611,-0.0029441249222398797,0.017801294882677347,0.01954919159480733,0.021602225543545434,0.0,0.008768761412530697
B_n1,perturbation_state:volume_log_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,perturbation_state:volume_movement_abs,925,-0.10662472939385015,0.23190694550870744,0.043085918556820674,0.059427350367808544,-0.02450647362413164,-0.014710308854529489,0.033466302333454545,0.22087312563803346,0.22163187144178012,0.23190694550870744,0.0,-0.0206989985181939
B_n1,perturbation_state:volume_movement_signed,925,-0.0966929599415961,0.1928584698414266,0.026075413940019554,0.048176984575662975,-0.011732026817526857,-0.007588085357094524,0.01326259440375341,0.18231514768425636,0.18296469235193616,0.1928584698414266,0.0,0.0025617386436481418
B_n1,reinforcement:bias,925,-0.39921379789256417,0.3475525070009917,-0.011312827835799677,0.03554497086362312,-0.12234050326787188,-0.05038904365363107,-0.007783296383125392,0.01652514432922621,0.024237062393573226,0.39921379789256417,0.0,-0.06524181572507938
B_n1,reinforcement:directional_volume,925,-1.6120851576323185,1.3748091580648458,0.05825303526793213,0.16676523247457475,-0.09814664168141776,-0.09276508369507012,0.004294762505978956,0.2891517271977016,0.44853665006495413,1.6120851576323185,0.0,0.09729379785471672
B_n1,reinforcement:price_acceleration,925,-1.6481030864107313,0.04313141414108802,-0.08435480530824552,0.14110626458865339,-0.7065744714966863,-0.16870983145402146,-0.06266819998681357,0.015799031480412326,0.03483502104191035,1.6481030864107313,0.0,-0.06819900131198509
B_n1,reinforcement:price_displacement,925,-1.5540516696942184,1.2031952553731997,-0.002630100362440208,0.10284768488028913,-0.12437661928527645,-0.09625925068058493,0.007593206008335222,0.0953183844900618,0.11944470120058714,1.5540516696942184,0.0,-0.03044632784652923
B_n1,reinforcement:price_velocity,925,-1.5540516696942184,1.2031952553731997,0.005472253736606929,0.10392168146470747,-0.12437661928527645,-0.09625925068058493,0.01360885572537164,0.0953183844900618,0.11944470120058714,1.5540516696942184,0.0,0.07822114181111199
B_n1,reinforcement:price_velocity_x_acceleration,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,reinforcement:relative_volume,925,-0.0389219069065001,0.04788794207093916,0.000482110145846118,0.005953876189202897,-0.009935014332003124,-0.008673033234869147,0.00034823216723186645,0.00988728081029468,0.015604074662865192,0.04788794207093916,0.0,0.011770235533351334
B_n1,reinforcement:relative_volume_x_price_velocity,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,reinforcement:spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,reinforcement:spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,reinforcement:volume_density,925,-0.03938649764450711,0.04742367513483328,0.0004096039297958275,0.006045774068028958,-0.010116734763258228,-0.008845633295984636,0.00016142397421033843,0.01012626023269887,0.01560192840688164,0.04742367513483328,0.0,0.012157217774878751
B_n1,reinforcement:volume_density_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,reinforcement:volume_log,925,-0.04250402383708268,0.07382566884040734,-0.0044792107686647,0.017203775817443423,-0.03608553312520585,-0.03418651466742604,-4.3468571073702715e-05,0.016536446995940618,0.022685691194677313,0.07382566884040734,0.0,-0.03214576648034741
B_n1,reinforcement:volume_log_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,reinforcement:volume_movement_abs,925,-0.015442227490705694,1.656728204563289,0.08202133927108479,0.16570124062903352,-0.011753700996015056,-0.005394754307083365,0.024759123027007095,0.30811392018484973,0.8215391937451577,1.656728204563289,0.0,0.07415788374984482
B_n1,reinforcement:volume_movement_signed,925,-1.5982576178497776,1.164891774829371,0.009650994780888726,0.09569241635599443,-0.06313427073984512,-0.03617132764090633,0.010754633533471655,0.0940255609114351,0.10840732715036734,1.5982576178497776,0.0,-0.02502568861535528
B_n1,reversal_tendency:bias,925,0.0,0.2427490057356912,0.15432428469392426,0.047910614188851286,0.0,0.0711312530556951,0.15019072990122853,0.22849043029814534,0.23962060235421062,0.2427490057356912,0.0,0.1422639985174242
B_n1,reversal_tendency:directional_volume,925,-0.27024008728552606,0.2558058740510445,-0.02321797672561347,0.03212462127752371,-0.1106100779485023,-0.06489641216579464,-0.014420236003837125,0.010560738775040726,0.02105843028700965,0.27024008728552606,0.0,-0.04865795215103171
B_n1,reversal_tendency:price_acceleration,925,-0.117322820420325,0.28829565287234193,-0.014020751624672001,0.04368709766646131,-0.11038177757721357,-0.1009053974240489,-0.008105466700468314,0.0286764108115605,0.1183092673525144,0.28829565287234193,0.0,0.020208317250133227
B_n1,reversal_tendency:price_displacement,925,-0.21764857201517784,0.26795264494848214,0.02116097920884914,0.03249825681780103,-0.011368529012916408,-0.006228901889132789,0.014379229341727664,0.10803128985411745,0.11439827392155624,0.26795264494848214,0.0,0.024001204922883802
